Year,Lender_LEI,State,County_Code,Census_Tract,Approved,Denied,Race,Sex,Income,Log_Income,Loan_Amount,Log_Loan_Amount,LTV,Loan_Type,DTI_Ratio,preapproval,Occupancy_Type,Index
2019,549300OPCWU6E72WUT29,IL,17097.0,17097862902.0,1,0,0_White,0_Male,85.0,4.442651256490317,35000.0,10.46310334047155,75.0,Conventional,30%-<36%,2,3,513881
2019,549300U3721PJGQZYY68,IL,17031.0,17031620400.0,1,0,Latinx,Female,53.0,3.970291913552122,145000.0,11.884489021402711,80.0,Conventional,39,2,1,476960
2019,549300U3721PJGQZYY68,IL,17031.0,17031807500.0,1,0,0_White,Female,69.0,4.23410650459726,275000.0,12.524526376648708,95.0,Conventional,45,2,1,502404
2019,549300B8C23BCNGJ4960,IL,17145.0,17145030200.0,1,0,0_White,0_Male,54.0,3.9889840465642745,135000.0,11.813030057420567,101.01,RHS or FSA,30%-<36%,2,1,458094
2019,7H6GLXDRUGQFU57RNE97,IL,17031.0,17031808200.0,1,0,Latinx,Female,102.0,4.624972813284271,265000.0,12.487485104968359,90.0,Conventional,20%-<30%,2,1,417213
2019,549300WTZMQSET2VY242,IL,17201.0,17201003801.0,1,0,0_White,Female,45.0,3.8066624897703196,5000.0,8.517193191416238,101.771,Conventional,30%-<36%,2,1,312942
2019,7H6GLXDRUGQFU57RNE97,IL,17043.0,17043845100.0,1,0,0_White,0_Male,140.0,4.941642422609304,405000.0,12.911642346088676,80.0,Conventional,43,2,1,418488
2019,549300J7I82PNDVU8H22,IL,17089.0,17089850202.0,1,0,Latinx,0_Male,56.0,4.02535169073515,185000.0,12.128111104060462,96.5,FHA,41,2,1,26856
2019,549300DRA4BDXW23LD45,IL,17093.0,17093890202.0,1,0,Latinx,0_Male,95.0,4.553876891600541,155000.0,11.951180395901384,80.0,Conventional,44,2,1,564280
2019,549300HW662MN1WU8550,IL,17031.0,17031802004.0,1,0,Asian,0_Male,56.0,4.02535169073515,125000.0,11.736069016284437,80.0,Conventional,30%-<36%,2,1,519520
2019,254900JZN2V0PWFMW808,IL,17197.0,17197883507.0,1,0,Latinx,0_Male,408.0,6.0112671744041615,425000.0,12.959844447906553,94.839,Conventional,20%-<30%,2,1,387857
2019,KB1H1DSPRFMYMCUFXT09,IL,17031.0,17031720300.0,1,0,0_White,0_Male,81.0,4.394449154672439,225000.0,12.323855681186558,85.0,Conventional,43,2,1,266044
2019,549300EKGRBBO8HEKR21,IL,17117.0,17117956000.0,1,0,0_White,Female,36.0,3.58351893845611,85000.0,11.350406535472453,101.677,FHA,20%-<30%,2,1,48370
2019,5493001WHVQBGRSWEU75,IL,17043.0,17043845811.0,1,0,0_White,0_Male,104.0,4.6443908991413725,145000.0,11.884489021402711,95.0,Conventional,30%-<36%,2,1,550838
2019,549300J6N77Q8OHYNF23,IL,17007.0,17007010602.0,1,0,Latinx,Female,40.0,3.6888794541139363,5000.0,8.517193191416238,8.0,Conventional,0%-20%,1,1,221467
2019,5493001GDRY0EL7VG372,IL,17031.0,17031813500.0,1,0,Latinx,Female,43.0,3.7612001156935624,245000.0,12.409013489526863,96.5,FHA,47,2,1,559426
2019,549300RPOGWJRH63HS39,IL,17043.0,17043841704.0,1,0,Asian,0_Male,114.0,4.736198448394496,385000.0,12.86099861326992,80.0,Conventional,30%-<36%,2,1,559778
2019,549300SELI3XCH3UZW80,IL,17089.0,17089850702.0,1,0,0_White,0_Male,39.0,3.6635616461296463,185000.0,12.128111104060462,100.0,VA,50%-60%,2,1,6404
2019,5493001R92DY5DI1DI85,IL,17097.0,17097864513.0,1,0,0_White,Female,102.0,4.624972813284271,285000.0,12.560244459250788,80.0,Conventional,30%-<36%,2,1,157349
2019,E57ODZWZ7FF32TWEFA76,IL,17097.0,17097863904.0,1,0,Asian,0_Male,347.0,5.849324779946859,495000.0,13.112313041550827,80.99,Conventional,20%-<30%,1,1,145687
2019,7H6GLXDRUGQFU57RNE97,IL,17031.0,17031812302.0,0,1,0_White,Female,220.0,5.393627546352362,155000.0,11.951180395901384,72.54,Conventional,30%-<36%,2,1,431224
2019,549300SELI3XCH3UZW80,IL,17111.0,17111870810.0,1,0,Latinx,0_Male,93.0,4.532599493153256,205000.0,12.230765258120545,80.0,Conventional,48,2,1,7878
2019,549300U3721PJGQZYY68,IL,17031.0,17031430102.0,1,0,Black,Female,58.0,4.060443010546419,155000.0,11.951180395901384,93.0,Conventional,39,2,1,494615
2019,2WHM8VNJH63UN14OL754,IL,17197.0,17197881001.0,1,0,0_White,Female,89.0,4.48863636973214,225000.0,12.323855681186558,80.0,Conventional,49,2,1,491443
2019,7H6GLXDRUGQFU57RNE97,IL,17097.0,17097864101.0,1,0,0_White,0_Male,98.0,4.584967478670572,265000.0,12.487485104968359,80.0,Conventional,30%-<36%,2,1,417623
2019,549300ZZME37MXI1EF14,IL,17119.0,17119403402.0,1,0,0_White,Female,76.0,4.330733340286331,125000.0,11.736069016284437,96.5,FHA,43,2,1,449688
2019,549300MGPZBLQDIL7538,IL,17031.0,17031823302.0,1,0,Black,Female,58.0,4.060443010546419,145000.0,11.884489021402711,96.839,Conventional,30%-<36%,2,1,138960
2019,549300VORTI31GZTJL53,IL,17031.0,17031802701.0,1,0,0_White,0_Male,84.0,4.430816798843313,265000.0,12.487485104968359,80.0,Conventional,20%-<30%,2,1,13296
2019,549300MXJA09WZJ0DV55,IL,17031.0,17031812801.0,1,0,0_White,0_Male,95.0,4.553876891600541,265000.0,12.487485104968359,90.0,Conventional,30%-<36%,2,1,575294
2019,549300U3721PJGQZYY68,IL,17031.0,17031530503.0,1,0,Black,0_Male,74.0,4.30406509320417,5000.0,8.517193191416238,103.329,Conventional,30%-<36%,2,1,486912
2019,549300RBX56T2MW5HO19,IL,17063.0,17063000103.0,1,0,0_White,0_Male,136.0,4.912654885736052,255000.0,12.449018824140563,95.0,Conventional,30%-<36%,2,1,96696
2019,6BYL5QZYBDK8S7L73M02,IL,17197.0,17197880503.0,1,0,0_White,0_Male,55.0,4.007333185232471,105000.0,11.56171562913966,55.56,Conventional,20%-<30%,2,1,249041
2019,549300FGXN1K3HLB1R50,IL,17031.0,17031823303.0,0,1,Black,Female,71.0,4.2626798770413155,225000.0,12.323855681186558,96.5,FHA,49,2,1,199125
2019,549300YD7XJM19TH5O82,IL,17179.0,17179022300.0,1,0,0_White,Female,142.0,4.955827057601261,205000.0,12.230765258120545,65.574,Conventional,30%-<36%,1,1,317074
2019,549300L0EV5UM3IRHJ33,IL,17115.0,17115002904.0,1,0,0_White,Female,59.0,4.07753744390572,65000.0,11.082142548877775,71.429,Conventional,0%-20%,2,1,209380
2019,5493006RIR31ORKYB608,IL,17031.0,17031802100.0,1,0,0_White,0_Male,145.0,4.976733742420574,455000.0,13.028052697933088,95.0,Conventional,43,2,1,549924
2019,549300B8C23BCNGJ4960,IL,17139.0,17139977200.0,1,0,0_White,0_Male,26.0,3.258096538021482,55000.0,10.915088464214607,101.009,RHS or FSA,30%-<36%,2,1,458381
2019,549300OV8NE5ZPEPMF52,IL,17035.0,17035972600.0,1,0,0_White,0_Male,72.0,4.276666119016055,115000.0,11.652687407345388,95.0,Conventional,20%-<30%,2,1,79747
2019,5493003GQDUH26DNNH17,IL,17117.0,17117956100.0,1,0,0_White,0_Male,55.0,4.007333185232471,155000.0,11.951180395901384,100.0,VA,48,1,1,1056
2019,FDXQ75GPEQKRPWABYN63,IL,17031.0,17031060300.0,1,0,Latinx,Female,141.0,4.948759890378168,285000.0,12.560244459250788,95.0,Conventional,30%-<36%,2,1,151583
2019,549300HW662MN1WU8550,IL,17043.0,17043843100.0,1,0,Latinx,Female,38.0,3.6375861597263857,175000.0,12.072541252905651,96.5,FHA,50%-60%,2,1,526302
2019,7H6GLXDRUGQFU57RNE97,IL,17043.0,17043846509.0,1,0,0_White,Female,42.0,3.7376696182833684,125000.0,11.736069016284437,97.0,Conventional,40,2,1,421569
2019,549300GKFNPRWNS0GF29,IL,17031.0,17031191301.0,1,0,Latinx,0_Male,79.0,4.3694478524670215,205000.0,12.230765258120545,80.0,Conventional,20%-<30%,2,1,332035
2019,B4TYDEB6GKMZO031MB27,IL,17031.0,17031804805.0,1,0,0_White,0_Male,202.0,5.308267697401205,145000.0,11.884489021402711,75.0,Conventional,20%-<30%,2,3,173586
2019,KB1H1DSPRFMYMCUFXT09,IL,17031.0,17031160502.0,1,0,0_White,Female,185.0,5.220355825078324,365000.0,12.80765263256463,87.27,Conventional,0%-20%,2,1,275376
2019,549300U8L31JJT1ZDP60,IL,17065.0,17065973300.0,1,0,0_White,0_Male,96.0,4.564348191467836,205000.0,12.230765258120545,80.0,Conventional,20%-<30%,2,1,442363
2019,549300BRJZYHYKT4BJ84,IL,17031.0,17031807700.0,1,0,Latinx,0_Male,50.0,3.912023005428146,265000.0,12.487485104968359,96.5,FHA,44,2,1,91862
2019,2WHM8VNJH63UN14OL754,IL,17197.0,17197880415.0,0,1,0_White,0_Male,32.0,3.4657359027997265,165000.0,12.013700752882718,96.5,FHA,>60%,2,1,495194
2019,7H6GLXDRUGQFU57RNE97,IL,17031.0,17031801500.0,1,0,0_White,0_Male,430.0,6.063785208687608,215000.0,12.2783933071098,75.0,Conventional,0%-20%,2,3,411045
2019,5493001R92DY5DI1DI85,IL,17197.0,17197881700.0,1,0,0_White,0_Male,98.0,4.584967478670572,185000.0,12.128111104060462,95.0,Conventional,48,2,1,157448
2019,549300YD7XJM19TH5O82,IL,17203.0,17203030602.0,1,0,0_White,0_Male,180.0,5.19295685089021,375000.0,12.834681304952548,80.0,Conventional,20%-<30%,2,1,316038
2019,549300GKFNPRWNS0GF29,IL,17031.0,17031831400.0,1,0,Black,Female,69.0,4.23410650459726,185000.0,12.128111104060462,98.19,FHA,50%-60%,2,1,330874
2019,549300J7XKT2BI5WX213,IL,17089.0,17089850701.0,1,0,0_White,0_Male,84.0,4.430816798843313,265000.0,12.487485104968359,90.0,Conventional,43,2,1,464144
2019,54930049L5WINET09Q97,IL,17097.0,17097861404.0,1,0,Latinx,Female,81.0,4.394449154672439,165000.0,12.013700752882718,96.5,FHA,50%-60%,2,1,25807
2019,549300U3721PJGQZYY68,IL,17031.0,17031803610.0,1,0,0_White,Female,69.0,4.23410650459726,165000.0,12.013700752882718,85.0,Conventional,30%-<36%,2,1,497270
